,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results,total_run_x
0,Gujarat Titans,Chennai Super Kings,Ahmedabad,179,125,9,179.0,-0.0,8.59,1,
1,Gujarat Titans,Chennai Super Kings,Ahmedabad,179,124,8,179.0,-0.0,8.66,1,
2,Gujarat Titans,Chennai Super Kings,Ahmedabad,179,123,7,179.0,-0.0,8.73,1,
3,Gujarat Titans,Chennai Super Kings,Ahmedabad,170,119,3,179.0,54.0,8.57,1,
4,Gujarat Titans,Chennai Super Kings,Ahmedabad,166,118,2,179.0,39.0,8.44,1,
5,Gujarat Titans,Chennai Super Kings,Ahmedabad,165,117,1,179.0,28.0,8.46,1,
6,Gujarat Titans,Chennai Super Kings,Ahmedabad,165,116,0,179.0,21.0,8.53,1,
7,Kolkata Knight Riders,Punjab Kings,Chandigarh,192,125,9,192.0,-0.0,9.22,0,
8,Kolkata Knight Riders,Punjab Kings,Chandigarh,179,119,3,192.0,78.0,9.03,0,
9,Kolkata Knight Riders,Punjab Kings,Chandigarh,179,118,2,192.0,39.0,9.1,0,
10,Kolkata Knight Riders,Punjab Kings,Chandigarh,175,117,1,192.0,34.0,8.97,0,
11,Kolkata Knight Riders,Punjab Kings,Chandigarh,175,116,0,192.0,25.5,9.05,0,
12,Delhi Capitals,Lucknow Super Giants,Lucknow,187,119,3,194.0,42.0,9.43,0,
13,Delhi Capitals,Lucknow Super Giants,Lucknow,186,119,2,194.0,48.0,9.38,0,
14,Delhi Capitals,Lucknow Super Giants,Lucknow,185,118,1,194.0,27.0,9.41,0,
15,Delhi Capitals,Lucknow Super Giants,Lucknow,181,117,0,194.0,26.0,9.28,0,
16,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,125,9,204.0,-0.0,9.79,0,
17,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,124,8,204.0,-0.0,9.87,0,
18,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,123,7,204.0,-0.0,9.95,0,
19,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,122,6,204.0,-0.0,10.03,0,
20,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,121,5,204.0,-0.0,10.12,0,
21,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,202,119,3,204.0,12.0,10.18,0,
22,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,201,118,2,204.0,9.0,10.22,0,
23,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,201,117,1,204.0,6.0,10.31,0,
24,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,197,116,0,204.0,10.5,10.19,0,
25,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,166,119,3,172.0,36.0,8.37,1,
26,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,165,118,2,172.0,21.0,8.39,1,
27,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,164,117,1,172.0,16.0,8.41,1,
28,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,164,116,0,172.0,12.0,8.48,1,
29,Lucknow Super Giants,Chennai Super Kings,Chennai,218,125,9,218.0,-0.0,10.46,0,
30,Lucknow Super Giants,Chennai Super Kings,Chennai,218,124,8,218.0,-0.0,10.55,0,
31,Lucknow Super Giants,Chennai Super Kings,Chennai,209,119,3,218.0,54.0,10.54,0,
32,Lucknow Super Giants,Chennai Super Kings,Chennai,208,118,2,218.0,30.0,10.58,0,
33,Lucknow Super Giants,Chennai Super Kings,Chennai,204,117,1,218.0,28.0,10.46,0,
34,Lucknow Super Giants,Chennai Super Kings,Chennai,200,116,0,218.0,27.0,10.34,0,
35,Gujarat Titans,Delhi Capitals,Delhi,163,125,9,163.0,-0.0,7.82,1,
36,Gujarat Titans,Delhi Capitals,Delhi,163,124,8,163.0,-0.0,7.89,1,
37,Gujarat Titans,Delhi Capitals,Delhi,145,119,3,163.0,108.0,7.31,1,
38,Gujarat Titans,Delhi Capitals,Delhi,145,118,2,163.0,54.0,7.37,1,
39,Gujarat Titans,Delhi Capitals,Delhi,145,117,1,163.0,36.0,7.44,1,
40,Gujarat Titans,Delhi Capitals,Delhi,141,116,0,163.0,33.0,7.29,1,
41,Rajasthan Royals,Punjab Kings,Guwahati,187,119,3,198.0,66.0,9.43,0,
42,Rajasthan Royals,Punjab Kings,Guwahati,186,118,2,198.0,36.0,9.46,0,
43,Rajasthan Royals,Punjab Kings,Guwahati,186,117,1,198.0,24.0,9.54,0,
44,Rajasthan Royals,Punjab Kings,Guwahati,185,116,0,198.0,19.5,9.57,0,
45,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,195,119,3,205.0,60.0,9.83,0,
46,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,194,118,2,205.0,33.0,9.86,0,
47,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,194,117,1,205.0,22.0,9.95,0,
48,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,194,116,0,205.0,16.5,10.03,0,
49,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,122,125,9,122.0,-0.0,5.86,1,
50,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,109,119,3,122.0,78.0,5.5,1,
51,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,105,119,2,122.0,102.0,5.29,1,
52,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,104,118,1,122.0,54.0,5.29,1,
53,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,103,117,0,122.0,38.0,5.28,1,
54,Delhi Capitals,Rajasthan Royals,Guwahati,200,125,9,200.0,-0.0,9.6,0,
55,Delhi Capitals,Rajasthan Royals,Guwahati,200,124,8,200.0,-0.0,9.68,0,
56,Delhi Capitals,Rajasthan Royals,Guwahati,200,123,7,200.0,-0.0,9.76,0,
57,Delhi Capitals,Rajasthan Royals,Guwahati,200,122,6,200.0,-0.0,9.84,0,
58,Delhi Capitals,Rajasthan Royals,Guwahati,200,121,5,200.0,-0.0,9.92,0,
59,Delhi Capitals,Rajasthan Royals,Guwahati,199,119,3,200.0,6.0,10.03,0,
60,Delhi Capitals,Rajasthan Royals,Guwahati,199,118,2,200.0,3.0,10.12,0,
61,Delhi Capitals,Rajasthan Royals,Guwahati,199,117,1,200.0,2.0,10.21,0,
62,Delhi Capitals,Rajasthan Royals,Guwahati,199,116,0,200.0,1.5,10.29,0,
63,Chennai Super Kings,Mumbai Indians,Mumbai,158,125,9,158.0,-0.0,7.58,1,
64,Chennai Super Kings,Mumbai Indians,Mumbai,158,124,8,158.0,-0.0,7.65,1,
65,Chennai Super Kings,Mumbai Indians,Mumbai,158,123,7,158.0,-0.0,7.71,1,
66,Chennai Super Kings,Mumbai Indians,Mumbai,158,122,6,158.0,-0.0,7.77,1,
